Product_Name,Review_Text,Sentiment
"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)","Great product, totally satisfied with the quality.",Positive
"Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) NP750XQB-KA1IN Thin and Light Laptop  (15.6 inch, Sapphire Blue, 1.55 Kg, With MS Office)","The item stopped working after a week, very disappointed.",Negative
"Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Thin and Light Laptop  (15.6 inch, Gray, 1.55 Kg, With MS Office)","Average build quality, but does the job.",Neutral
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)","Fast delivery and well-packed, loved it.",Positive
"Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.50 Kg)","Poor battery life, not worth the price.",Negative
"DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.67 Kg, With MS Office)","Exceeded my expectations, highly recommend!",Positive
"HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.59 kg, With MS Office)","Bad packaging, item was slightly damaged.",Negative
"DELL 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 / 15 DC 15255 Thin and Light Laptop  (15.6 inch, Carbon Black, 1.67 kg, With MS Office)","Superb quality, feels premium.",Positive
"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","Not as described, I want a refund.",Positive
"Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) A715-79G Gaming Laptop  (15.6 Inch, Black, 1.99 Kg)","Works perfectly fine, happy with the purchase.",Positive
"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)","Terrible performance, keeps lagging.",Negative
"Samsung Galaxy Book4 Metal Intel Core i7 13th Gen 1355U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG3IN / NP750XGJ-LG3IN / NP750XGJ-LG8IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","Value for money, decent performance.",Positive
"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS Thin and Light Laptop  (14 inch, Misty Grey, 1.4 Kg, With MS Office)","Sound quality is amazing, bass is strong.",Positive
"ASUS Expertbook P1 High-performance processor Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70611WS Thin and Light Laptop  (15.6 inch, Misty Grey, 1.65 Kg, With MS Office)",Screen brightness is too low.,Positive
"ASUS Expertbook P1 High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940WS Thin and Light Laptop  (14 inch, Misty Grey, 1.42 Kg, With MS Office)",Very lightweight and comfortable to use.,Positive
"Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook  (14 Inch, Abyss Blue, 1.3 Kg)",Heating issue after 10 minutes of usage.,Neutral
"Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB314-3H-C0BZ Chromebook  (15.6 inch, Silver, 1.45 Kg)",Affordable and reliable product.,Neutral
"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/256 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",Camera quality could be better.,Positive
"Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 42 Thin and Light Laptop  (15.6 Inch, Silver, 1.79 Kg)","Extremely durable, survived multiple drops!",Positive
"Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)","Do not buy this product, complete waste.",Negative
"Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 83ER00KSIN Thin and Light Laptop  (15.6 inch, Arctic Grey, With MS Office)",The delivery was delayed by 3 days.,Negative
"Acer Nitro V AMD Ryzen 5 Hexa Core 6600H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) ANV15-41-R8G0 Gaming Laptop  (16 inch, Obsidian Black, 2.1 Kg)",Customer support was very helpful.,Positive
"Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-LG9IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)","Love this color and texture, looks premium.",Positive
"Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (8 GB/64 GB EMMC Storage/Chrome OS) 100e Chromebook Gen 4 Chromebook  (11.6 inch, Graphite Grey, 1.23 Kg)",The cable stopped charging after one month.,Negative
"ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60938WS Thin and Light Laptop  (14 inch, Misty Grey, 1.4 Kg, With MS Office)","Battery lasts the whole day, very impressed.",Positive
"POCO C71 (Cool Blue, 128 GB)  (6 GB RAM)","Felt cheap, material quality is poor.",Negative
Rastic SM Guru Music 2 Mobile Phone  (White),"Received a used product, very upset.",Negative
"POCO C71 (Desert Gold, 64 GB)  (4 GB RAM)","Smooth UI, apps run perfectly.",Positive
