review,vader_score,vader_sentiment,textblob_score,textblob_sentiment
"Great product, totally satisfied with the quality.",0.8016,Positive,0.65,Positive
"The item stopped working after a week, very disappointed.",-0.6478,Negative,-0.9750000000000001,Negative
"Average build quality, but does the job.",0.0,Neutral,-0.15,Negative
"Fast delivery and well-packed, loved it.",0.5994,Positive,0.44999999999999996,Positive
"Poor battery life, not worth the price.",-0.5812,Negative,-0.275,Negative
"Exceeded my expectations, highly recommend!",0.474,Positive,0.2,Positive
"Bad packaging, item was slightly damaged.",-0.7275,Negative,-0.43333333333333324,Negative
"Superb quality, feels premium.",0.6249,Positive,1.0,Positive
"Not as described, I want a refund.",0.0772,Positive,0.0,Neutral
"Works perfectly fine, happy with the purchase.",0.8658,Positive,0.6083333333333334,Positive
"Terrible performance, keeps lagging.",-0.6369,Negative,-1.0,Negative
"Value for money, decent performance.",0.34,Positive,0.16666666666666666,Positive
"Sound quality is amazing, bass is strong.",0.7964,Positive,0.3208333333333333,Positive
Screen brightness is too low.,0.128,Positive,0.0,Neutral
Very lightweight and comfortable to use.,0.552,Positive,0.30000000000000004,Positive
Heating issue after 10 minutes of usage.,0.0,Neutral,0.0,Neutral
Affordable and reliable product.,0.0,Neutral,0.0,Neutral
Camera quality could be better.,0.4404,Positive,0.5,Positive
"Extremely durable, survived multiple drops!",0.5954,Positive,-0.0625,Negative
"Do not buy this product, complete waste.",-0.4215,Negative,-0.05,Negative
The delivery was delayed by 3 days.,-0.2263,Negative,0.0,Neutral
Customer support was very helpful.,0.6997,Positive,0.2,Positive
"Love this color and texture, looks premium.",0.6369,Positive,0.5,Positive
The cable stopped charging after one month.,-0.2263,Negative,0.0,Neutral
"Battery lasts the whole day, very impressed.",0.5256,Positive,0.6,Positive
"Felt cheap, material quality is poor.",-0.4767,Negative,0.0,Neutral
"Received a used product, very upset.",-0.4391,Negative,0.2,Positive
"Smooth UI, apps run perfectly.",0.6369,Positive,0.7,Positive
"Overheats quickly, bad experience.",-0.5423,Negative,-0.6999999999999998,Negative
Very sturdy and well-built.,0.0,Neutral,0.2,Positive
Returned the product due to defects.,-0.4019,Negative,-0.125,Negative
Looks stylish and modern.,0.0,Neutral,0.35,Positive
Low brightness and poor visibility outdoors.,-0.3818,Negative,-0.2,Negative
Touchscreen is very responsive.,0.4201,Positive,0.2,Positive
"Charger is faulty, not working.",-0.3182,Negative,0.0,Neutral
Performance is average for the price.,0.0,Neutral,-0.15,Negative
"Super fast charging, very convenient.",0.5994,Positive,0.24444444444444446,Positive
Internal storage is too low.,-0.2732,Negative,0.0,Neutral
Buttons feel flimsy and weak.,-0.4404,Negative,-0.375,Negative
The speaker is loud and clear.,0.3818,Positive,0.1,Positive
Not worth the hype.,-0.1695,Negative,-0.15,Negative
Perfect for daily use.,0.5719,Positive,0.5,Positive
The product feels cheap and fragile.,0.0,Neutral,0.2,Positive
Excellent battery backup!,0.6114,Positive,1.0,Positive
Delivered in perfect condition.,0.5719,Positive,1.0,Positive
"The box was opened already, suspicious.",-0.3612,Negative,0.0,Neutral
Good product but overpriced.,0.2382,Positive,0.7,Positive
Camera is sharp and detailed.,0.0,Neutral,0.1375,Positive
"Cannot connect to WiFi, very annoying.",-0.4576,Negative,-1.0,Negative
Works fine but build quality is bad.,-0.6542,Negative,-0.14166666666666658,Negative
The design is sleek and minimal.,0.0,Neutral,-0.1,Negative
Software updates improved performance.,0.4767,Positive,0.0,Neutral
Display clarity is excellent.,0.7506,Positive,1.0,Positive
Received a wrong color item.,-0.4767,Negative,-0.5,Negative
Very smooth multitasking experience.,0.0,Neutral,0.52,Positive
Heating issues persist even after update.,0.0,Neutral,0.0,Neutral
Keyboard keys feel very soft and nice.,0.4703,Positive,0.365,Positive
Mouse stopped working randomly.,-0.2263,Negative,-0.5,Negative
"Loud fan noise, not recommended.",0.1798,Positive,0.1,Positive
Touchpad is very smooth and accurate.,0.0,Neutral,0.4600000000000001,Positive
Really good for online classes.,0.4927,Positive,0.7,Positive
"Poor battery + slow performance, worst combo.",-0.802,Negative,-0.5666666666666668,Negative
Fantastic performance for gaming!,0.5983,Positive,0.5,Positive
Not suitable for heavy usage.,0.0,Neutral,-0.23750000000000002,Negative
Camera produces grainy images.,0.0,Neutral,0.0,Neutral
