Product_ID,Category,Product_Name,Rating,Total_Ratings,Total_Reviews,Price,Discount,Product_URL
1,Laptop,"Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light Laptop  (14 Inch, Steel Gray, 1.45 Kg)",4.2★,5226,388,25990,39% off,https://www.flipkart.com/acer-aspire-3-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-a324-51-thin-light-laptop/p/itm7dda0a4d1d62a?pid=COMHY24RJH2YXVPG&lid=LSTCOMHY24RJH2YXVPGTVAAXW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_1&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMHY24RJH2YXVPG.SEARCH&ppt=sp&ppn=sp&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
2,Laptop,"Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB SSD/Windows 11 Home) NP750XQB-KA1IN Thin and Light Laptop  (15.6 inch, Sapphire Blue, 1.55 Kg, With MS Office)",4.3★,1370,105,64990,29% off,https://www.flipkart.com/samsung-galaxy-book4-edge-series-copilot-ai-pc-full-metal-chasis-qualcomm-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-np750xqb-ka1in-thin-light-laptop/p/itm1d61ec8d90cc7?pid=COMHE4ATFWNVHXHS&lid=LSTCOMHE4ATFWNVHXHSIHS0FO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMHE4ATFWNVHXHS.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
3,Laptop,"Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Thin and Light Laptop  (15.6 inch, Gray, 1.55 Kg, With MS Office)",4.5★,343,39,75990,24% off,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-5-225u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itmc33d2563d0ffc?pid=COMHE4ATPCZ9FXRP&lid=LSTCOMHE4ATPCZ9FXRP7N1GVG&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMHE4ATPCZ9FXRP.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
4,Laptop,"Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Laptop  (11.6 inch, Steel Grey, 1.0 kg)",3.8★,6451,581,22899,36% off,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-8-gb-512-gb-ssd-windows-11-home-a311-45-thin-light-laptop/p/itmad38595c5a902?pid=COMH7NCZY2QDJ5Z4&lid=LSTCOMH7NCZY2QDJ5Z4DVC9YB&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMH7NCZY2QDJ5Z4.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
5,Laptop,"Acer Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/256 GB SSD/Windows 11 Home) A325-45 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.50 Kg)",3.9★,1755,162,21990,26% off,https://www.flipkart.com/acer-aspire-3-intel-celeron-dual-core-n4500-8-gb-256-gb-ssd-windows-11-home-a325-45-thin-light-laptop/p/itm9ca67a1a3ea22?pid=COMH2TPSHCGYHHH8&lid=LSTCOMH2TPSHCGYHHH87PYZDA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMH2TPSHCGYHHH8.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
6,Laptop,"DELL 15 AMD Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) 3535 Thin and Light Laptop  (15.6 Inch, Platinum Silver, 1.67 Kg, With MS Office)",4.2★,1868,122,38990,31% off,https://www.flipkart.com/dell-15-amd-ryzen-5-hexa-core-7530u-16-gb-512-gb-ssd-windows-11-home-3535-thin-light-laptop/p/itm672bf7685863c?pid=COMH8EPFGAZ5HFM3&lid=LSTCOMH8EPFGAZ5HFM3UCBKL5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMH8EPFGAZ5HFM3.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
7,Laptop,"HP Laptop Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0129TU / 15-fd0568TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.59 kg, With MS Office)",4.1★,1958,118,35103,44% off,https://www.flipkart.com/hp-laptop-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-15-fd0129tu-15-fd0568tu-thin-light/p/itmcf7c16556a324?pid=COMHF6WAGPZCBQVZ&lid=LSTCOMHF6WAGPZCBQVZQDQWQM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMHF6WAGPZCBQVZ.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
8,Laptop,"DELL 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3535 / 15 DC 15255 Thin and Light Laptop  (15.6 inch, Carbon Black, 1.67 kg, With MS Office)",4.3★,1831,245,28990,29% off,https://www.flipkart.com/dell-15-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-inspiron-3535-dc-15255-thin-light-laptop/p/itm58c1d8a904449?pid=COMH5PBYWQTDJGQG&lid=LSTCOMH5PBYWQTDJGQGUCDMOA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMH5PBYWQTDJGQG.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
9,Laptop,"Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (16 GB/512 GB SSD/Windows 11 Home) NP750XGJ-KG2IN / NP750XGJ-LG2IN Thin and Light Laptop  (15.6 Inch, Gray, 1.55 Kg, With MS Office)",4.4★,14318,1151,51990,37% off,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-16-gb-512-gb-ssd-windows-11-home-np750xgj-kg2in-np750xgj-lg2in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDGFJGHZR4&lid=LSTCOMGZUYDGFJGHZR4JPVIN2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&spotlightTagId=default_BestsellerId_6bo%2Fb5g&srno=s_1_9&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMGZUYDGFJGHZR4.SEARCH&ppt=sp&ppn=sp&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
10,Laptop,"Acer Aspire 7 Intel Core i5 13th Gen 13420H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) A715-79G Gaming Laptop  (15.6 Inch, Black, 1.99 Kg)",4.3★,2769,203,54990,38% off,https://www.flipkart.com/acer-aspire-7-intel-core-i5-13th-gen-13420h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm8208102c97f99?pid=COMH3G96MYGWSGTF&lid=LSTCOMH3G96MYGWSGTFGZ7TLO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=search&fm=organic&iid=e631a2be-1f13-4c98-b5e5-fc2a86a82e3f.COMH3G96MYGWSGTF.SEARCH&ppt=None&ppn=None&ssid=hde1aajvio0000001763205553581&qH=c06ea84a1e3dc3c6
